nome_curso_grad,nome_curso_grad_emec,nome_curso_grad_EN,campus,modalidade,habilitacao,sigla_centro,nome_centro,url_curso_grad,THE_classificacao
CIÊNCIAS AGRÁRIAS,CIÊNCIAS AGRÁRIAS,TEACHING IN AGRICULTURE,Bananeiras,A Distância,Licenciatura,CCHSA,CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626847&lc=pt_BR,Education
CIÊNCIAS AGRÁRIAS,CIÊNCIAS AGRÁRIAS,TEACHING IN AGRICULTURE,Bananeiras,Presencial,Licenciatura,CCHSA,CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626758&lc=pt_BR,Education
CIÊNCIAS ATUARIAIS,CIÊNCIAS ATUARIAIS,ACTUARIAL SCIENCES,João Pessoa,Presencial,Bacharelado,CCSA,CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626665&lc=pt_BR,Business and Economics
CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,BIOLOGICAL SCIENCES,Areia,Presencial,Bacharelado e Licenciatura,CCA,CENTRO DE CIÊNCIAS AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626780&lc=pt_BR,Life Sciences
CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,BIOLOGICAL SCIENCES,João Pessoa,A Distância,Licenciatura,CCEN,CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626846&lc=pt_BR,Education
CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,BIOLOGICAL SCIENCES,João Pessoa,Presencial,Licenciatura,CCEN,CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=5505677&lc=pt_BR,Life Sciences
CIÊNCIAS BIOLÓGICAS,CIÊNCIAS BIOLÓGICAS,BIOLOGICAL SCIENCES,João Pessoa,Presencial,Bacharelado,CCEN,CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626855&lc=pt_BR,Life Sciences
CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,ACCOUNTING SCIENCES,João Pessoa,Presencial,Bacharelado,CCSA,CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626694&lc=pt_BR,Business and Economics
CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,ACCOUNTING SCIENCES,Mamanguape,Presencial,Bacharelado,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626789&lc=pt_BR,Business and Economics
CIÊNCIAS DAS RELIGIÕES,CIÊNCIAS DAS RELIGIÕES,RELIGIOUS STUDIES,João Pessoa,Presencial,Bacharelado e Licenciatura,CE,CENTRO DE EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626768&lc=pt_BR,Arts and Humanities
CIÊNCIAS ECONÔMICAS,CIÊNCIAS ECONÔMICAS,ECONOMICS,João Pessoa,Presencial,Bacharelado,CCSA,CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626696&lc=pt_BR,Business and Economics
CIÊNCIAS NATURAIS,CIÊNCIAS NATURAIS,NATURAL SCIENCES,João Pessoa,A Distância,Licenciatura,CE,CENTRO DE EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626848&lc=pt_BR,Physical Sciences
CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS,SOCIAL SCIENCES,João Pessoa,Presencial,Bacharelado e Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626869&lc=pt_BR,Social Sciences
COMPUTAÇÃO,COMPUTAÇÃO E INFORMÁTICA,COMPUTING,João Pessoa,A Distância,Licenciatura,CI,CENTRO DE INFORMÁTICA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1813971&lc=pt_BR,Education
COMUNICAÇÃO EM MÍDIAS DIGITAIS,COMUNICAÇÃO EM MÍDIAS DIGITAIS,DIGITAL MEDIA COMMUNICATION,João Pessoa,Presencial,Bacharelado,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626827&lc=pt_BR,Social Sciences
COMUNICAÇÃO SOCIAL,COMUNICAÇÃO SOCIAL - RADIALISMO,SOCIAL COMMUNICATION,João Pessoa,Presencial,Bacharelado,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626656&lc=pt_BR,Social Sciences
DANÇA,DANÇA,DANCE,João Pessoa,Presencial,Licenciatura,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1813968&lc=pt_BR,Arts and Humanities
DESIGN,DESIGN,DESIGN,Rio Tinto,Presencial,Bacharelado,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626836&lc=pt_BR,Arts and Humanities
DIREITO,DIREITO,LAW,João Pessoa,Presencial,Bacharelado,CCJ,CENTRO DE CIÊNCIAS JURÍDICAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626727&lc=pt_BR,Law
DIREITO,DIREITO,LAW,Santa Rita,Presencial,Bacharelado,CCJ,CENTRO DE CIÊNCIAS JURÍDICAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626880&lc=pt_BR,Law
ECOLOGIA,ECOLOGIA,ECOLOGY,Rio Tinto,Presencial,Bacharelado,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626787&lc=pt_BR,Life Sciences
EDUCAÇÃO ARTÍSTICA,???,ARTISTIC EDUCATION,João Pessoa,Presencial,Licenciatura,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626707&lc=pt_BR,Education
EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,PHYSICAL EDUCATION,João Pessoa,Presencial,Bacharelado,CCS,CENTRO DE CIÊNCIAS DA SAÚDE,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2663771&lc=pt_BR,Clinical and Health
EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,PHYSICAL EDUCATION,João Pessoa,Presencial,Licenciatura,CCS,CENTRO DE CIÊNCIAS DA SAÚDE,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626645&lc=pt_BR,Education
