nome_curso_grad,nome_curso_grad_emec,nome_curso_grad_EN,campus,modalidade,habilitacao,sigla_centro,nome_centro,url_curso_grad,THE_classificacao
ODONTOLOGIA,ODONTOLOGIA,DENTISTRY,João Pessoa,Presencial,Bacharelado,CCS,CENTRO DE CIÊNCIAS DA SAÚDE,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626646&lc=pt_BR,Clinical and Health
PEDAGOGIA,PEDAGOGIA,PEDAGOGY,Bananeiras,Presencial,Licenciatura,CCHSA,CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626877&lc=pt_BR,Education
PEDAGOGIA,PEDAGOGIA,PEDAGOGY,Mamanguape,Presencial,Licenciatura,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626838&lc=pt_BR,Education
PEDAGOGIA,PEDAGOGIA,PEDAGOGY,João Pessoa,Presencial,Licenciatura,CE,CENTRO DE EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626698&lc=pt_BR,Education
PEDAGOGIA,PEDAGOGIA,PEDAGOGY,João Pessoa,A Distância,Licenciatura,CE,CENTRO DE EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626845&lc=pt_BR,Education
PEDAGOGIA/EDUCAÇÃO DO CAMPO,PEDAGOGIA - EDUCAÇÃO DO CAMPO,PEDAGOGY,João Pessoa,Presencial,Licenciatura,CE,CENTRO DE EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2699762&lc=pt_BR,Education
PEDAGOGIA/MSC,PEDAGOGIA - MOVIMENTOS SOCIAIS DO CAMPO,PEDAGOGY,João Pessoa,Presencial,Licenciatura,CE,CENTRO DE EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2663759&lc=pt_BR,Education
PSICOLOGIA,PSICOLOGIA,PSYCHOLOGY,João Pessoa,Presencial,Formação e Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626724&lc=pt_BR,Psychology
PSICOPEDAGOGIA,PSICOPEDAGOGIA,PSYCHOPEDAGOGY,João Pessoa,Presencial,Bacharelado,CE,CENTRO DE EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626818&lc=pt_BR,Education
QUÍMICA,QUÍMICA,CHEMISTRY,João Pessoa,Presencial,Bacharelado e Licenciatura,CCEN,CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626799&lc=pt_BR,Physical Sciences
QUÍMICA,QUÍMICA,CHEMISTRY,Areia,Presencial,Bacharelado e Licenciatura,CCA,CENTRO DE CIÊNCIAS AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626770&lc=pt_BR,Physical Sciences
QUÍMICA,QUÍMICA,CHEMISTRY,Areia,Presencial,Bacharelado,CCA,CENTRO DE CIÊNCIAS AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=19435273&lc=pt_BR,Physical Sciences
QUÍMICA INDUSTRIAL,QUÍMICA INDUSTRIAL,INDUSTRIAL CHEMISTRY,João Pessoa,Presencial,Bacharelado,CT,CENTRO DE TECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626647&lc=pt_BR,Physical Sciences
RADIALISMO,RADIALISMO,RADIO AND TV,João Pessoa,Presencial,Bacharelado,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626774&lc=pt_BR,Social Sciences
REGÊNCIA DE BANDAS E FANFARRAS,MÚSICA REGÊNCIA DE BANDAS E FANFARRAS,CONDUCTING,João Pessoa,Presencial,Sequencial,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626823&lc=pt_BR,Arts and Humanities
RELACÕES INTERNACIONAIS,RELAÇÕES INTERNACIONAIS,INTERNATIONAL RELATIONS,João Pessoa,Presencial,Bacharelado,CCSA,CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626850&lc=pt_BR,Social Sciences
RELAÇÕES PÚBLICAS,RELAÇÕES PÚBLICAS,PUBLIC RELATIONS,João Pessoa,Presencial,Bacharelado,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626773&lc=pt_BR,Social Sciences
SECRETARIADO EXECUTIVO BILÍNGUE,SECRETARIADO EXECUTIVO - BILÍNGUE,BILINGUAL EXECUTIVE SECRETARIAT TRAINING,Mamanguape,Presencial,Bacharelado,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626793&lc=pt_BR,Business and Economics
SERVIÇO SOCIAL,SERVIÇO SOCIAL,SOCIAL WORK,João Pessoa,Presencial,Bacharelado,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626882&lc=pt_BR,Social Sciences
SISTEMAS DE INFORMAÇÃO,SISTEMAS DE INFORMAÇÃO,INFORMATION SYSTEMS,Rio Tinto,Presencial,Bacharelado,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626837&lc=pt_BR,Computer Science
TEATRO,TEATRO,THEATER STUDIES,João Pessoa,Presencial,Bacharelado,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2663765&lc=pt_BR,Arts and Humanities
TEATRO,TEATRO,THEATER STUDIES,João Pessoa,Presencial,Licenciatura,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626842&lc=pt_BR,Education
TECNOLOGIA DE ALIMENTOS,ALIMENTOS,FOOD TECHNOLOGY,João Pessoa,Presencial,Tecnólogo,CTDR,CENTRO DE TECNOLOGIA E DESENVOLVIMENTO REGIONAL,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626859&lc=pt_BR,Engineering
TECNOLOGIA EM GESTÃO PÚBLICA,???,TECHNOLOGY FOR PUBLIC MANAGEMENT,João Pessoa,Presencial,Tecnólogo,CCSA,CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626826&lc=pt_BR,Social Sciences
TECNOLOGIA EM PRODUÇÃO SUCROALCOOLEIRA,PRODUÇÃO SUCROALCOOLEIRA,SUGAR AND ALCOHOL PRODUCTION TECHNOLOGY,João Pessoa,Presencial,Tecnólogo,CTDR,CENTRO DE TECNOLOGIA E DESENVOLVIMENTO REGIONAL,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626861&lc=pt_BR,Engineering
TERAPIA OCUPACIONAL,TERAPIA OCUPACIONAL,OCCUPATIONAL THERAPY,João Pessoa,Presencial,Bacharelado,CCS,CENTRO DE CIÊNCIAS DA SAÚDE,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626813&lc=pt_BR,Clinical and Health
TRADUÇÃO,TRADUÇÃO,TRANSLATION STUDIES,João Pessoa,Presencial,Bacharelado,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626816&lc=pt_BR,Business and Economics
TURISMO,TURISMO,TOURISM STUDIES,João Pessoa,Presencial,Bacharelado,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626743&lc=pt_BR,Business and Economics
ZOOTECNIA,ZOOTECNIA,ZOOTECHNICS,Areia,Presencial,Bacharelado,CCA,CENTRO DE CIÊNCIAS AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626754&lc=pt_BR,Life Sciences
