SN,CN,AO,AC,UA,UN,UW,ISN,ISC,ISA,ISW
PR,Foz do Iguaçu,Universidade,Pública Federal,UNILA,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,https://portal.unila.edu.br,Pró-Reitoria de Relações Institucionais e Internacionais,Pró-Reitoria,PROINTER,https://portal.unila.edu.br/proint
PR,Ponta Grossa,Universidade,Pública Estadual,UEPG,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,https://www.uepg.br,Escritório de Relações Internacionais,Escritório,ERI,https://www2.uepg.br/eri/internacionalizacao/
PR,Paranavaí,Universidade,Pública Estadual,UNESPAR,UNIVERSIDADE ESTADUAL DO PARANÁ,https://www.unespar.edu.br,Escritório de Relações Internacionais,Escritório,ERI,https://www.unespar.edu.br/a_reitoria/administracao/administracao-superior/escritorio-de-relacoes-internacionais
PR,Cascavel,Universidade,Pública Estadual,UNIOESTE,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,https://www.unioeste.br,Assessoria de Relações Internacionais,Assessoria,ARI,https://www.unioeste.br/portal/ari/inicio
PR,Jacarezinho,Universidade,Pública Estadual,UENP,UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ,https://uenp.edu.br,Coordenadoria de Relações Internacionais,Coordenadoria,CRI,http://cri.uenp.edu.br
PR,Guarapuava,Universidade,Pública Estadual,UNICENTRO,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,https://www3.unicentro.br,Escritório de Relações Internacionais,Escritório,ERI,https://www3.unicentro.br/eri/cooperacao-internacional/apresentacao/
PR,Maringá,Universidade,Pública Estadual,UEM,UNIVERSIDADE ESTADUAL DE MARINGÁ,http://www.uem.br,Escritório de Cooperação Internacional,Escritório,ECI,http://www.eci.uem.br
PR,Londrina,Universidade,Pública Estadual,UEL,UNIVERSIDADE ESTADUAL DE LONDRINA,https://www.uel.br,Assessoria de Relações Internacionais,Assessoria,ARI,http://www.uel.br/ari/
RJ,Niterói,Universidade,Pública Federal,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,http://www.uff.br,Superintendência de Relações Internacionais,Superintendência,SRI,http://international.uff.br/language/pt/
RJ,Rio de Janeiro,Universidade,Pública Federal,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,http://www.ufrj.br,Diretoria de Relações Internacionais,Diretoria,DRI,https://dri.ufrj.br/index.php/pt/scri/quem-somos?_ga=2.211060373.1460705697.1658200437-178095589.1658200437&_gl=1*uts7c5*_ga*MTc4MDk1NTg5LjE2NTgyMDA0Mzc.*_ga_S9CWPVF04S*MTY1ODI2Nzc2My4yLjEuMTY1ODI2Nzc3MC4w
RJ,Seropédica,Universidade,Pública Federal,UFRRJ,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,http://www.ufrrj.br,Coordenadoria de Relações Internacionais e Interinstitucionais,Coordenadoria,CORIN,https://institucional.ufrrj.br/corin/en/
RJ,Rio de Janeiro,Universidade,Pública Federal,UNIRIO,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,http://www.unirio.br,Coordenadoria de Relações Interinstitucionais e Internacionais,Coordenadoria,CRI,http://www.unirio.br/relacoesinternacionais/portugues
RJ,Rio de Janeiro,Universidade,Pública Estadual,UERJ,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,https://www.uerj.br,Diretoria de Cooperação Internacional ,Diretoria,DIRCINT,http://www.dircint.uerj.br
RJ,Campos dos Goytacazes,Universidade,Pública Estadual,UENF,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE,https://uenf.br,Assessoria de Assuntos Internacionais e Institucionais,Assessoria,ASSAII,https://uenf.br/reitoria/assaii/en/
RN,Mossoró,Universidade,Pública Federal,UFERSA,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,https://ufersa.edu.br,Assessoria de Relações Internacionais,Assessoria,ARI,https://ari.ufersa.edu.br/apresentacao/
RN,Mossoró,Universidade,Pública Estadual,UERN,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,https://portal.uern.br,Diretoria de Assuntos Internacionais e Interinstitucionais,Diretoria,DAINT,https://www.uern.br/daint/default.asp?item=daint-apresentacao
