CODE,COURSE
1626814,LÍNGUAS ESTRANGEIRAS APLICADAS ÀS NEGOCIAÇÕES INTERNACIONAIS (BACHARELADO)/CCHLA. - João Pessoa(João Pessoa)
1626815,FONOAUDIOLOGIA (BACHARELADO)/CCS - João Pessoa(João Pessoa)
1626816,TRADUÇÃO (BACHARELADO)/CCHLA. - João Pessoa(João Pessoa)
1626818,PSICOPEDAGOGIA (BACH) (BACHARELADO)/CE - João Pessoa(João Pessoa)
1626823,REGÊNCIA DE BANDAS E FANFARRAS (OUTRO TIPO DE GRAU ACADÊMICO)/CCTA - João Pessoa(João Pessoa)
1626826,TECNOLOGIA EM GESTÃO PÚBLICA (TECNOLÓGICO)/CCSA - João Pessoa(João Pessoa)
1626827,COMUNICAÇÃO EM MÍDIAS DIGITAIS (BACHARELADO)/CCHLA. - João Pessoa(João Pessoa)
1626832,HISTÓRIA (LICENCIATURA)/CCHLA. - João Pessoa(João Pessoa)
1626836,DESIGN (BACHARELADO)/CCAE - Rio Tinto(Rio Tinto)
1626837,SISTEMAS DE INFORMAÇÃO (BACHARELADO)/CCAE - Rio Tinto(Rio Tinto)
1626838,PEDAGOGIA (LICENCIATURA)/CCAE - Mamanguape(Mamanguape)
1626841,MATEMÁTICA - EAD (LICENCIATURA)/CCEN - João Pessoa - EAD(João Pessoa)
1626842,TEATRO (LICENCIATURA) (LICENCIATURA)/CCTA - João Pessoa(João Pessoa)
1626843,ARTES VISUAIS/CCTA - João Pessoa(João Pessoa)
1626844,LETRAS / EAD (LICENCIATURA)/CCHLA. - João Pessoa - EAD(João Pessoa)
1626845,PEDAGOGIA - EAD (LICENCIATURA)/CE - João Pessoa - EAD(João Pessoa)
1626846,CIÊNCIAS BIOLÓGICAS - EAD (LICENCIATURA)/CCEN - João Pessoa - EAD(João Pessoa)
1626847,CIÊNCIAS AGRÁRIAS -EAD (LICENCIATURA)/CCHSA - Bananeiras - EAD(Bananeiras)
1626848,CIÊNCIAS NATURAIS (LICENCIATURA)/CE - João Pessoa - EAD(João Pessoa)
1626849,ENGENHARIA DE PRODUÇÃO (BACHARELADO)/CT - João Pessoa(João Pessoa)
1626850,RELACÕES INTERNACIONAIS (BACHARELADO)/CCSA - João Pessoa(João Pessoa)
1626852,CURSOS/CCEN - João Pessoa(João Pessoa)
1626855,CIÊNCIAS BIOLÓGICAS (BACHARELADO)/CCEN - João Pessoa(João Pessoa)
1626859,TECNOLOGIA DE ALIMENTOS (TECNOLÓGICO)/CTDR - João Pessoa(João Pessoa)
1626861,TECNOLOGIA EM PRODUÇÃO SUCROALCOOLEIRA (TECNOLÓGICO)/CTDR - João Pessoa(João Pessoa)
1626862,ANTROPOLOGIA (BACHARELADO)/CCAE - Rio Tinto(Rio Tinto)
1626865,ENGENHARIA DA COMPUTAÇÃO (BACHARELADO)/CI - João Pessoa(João Pessoa)
1626866,ENGENHARIA MECÂNICA (BACHARELADO)/CT - João Pessoa(João Pessoa)
1626867,FISIOTERAPIA (BACHARELADO)/CCS - João Pessoa(João Pessoa)
1626868,ESTATÍSTICA (BACHARELADO)/CCEN - João Pessoa(João Pessoa)
1626869,CIÊNCIAS SOCIAIS/CCHLA. - João Pessoa(João Pessoa)
1626872,LETRAS - LÍNGUA PORTUGUESA (LICENCIATURA)/CCHLA. - João Pessoa(João Pessoa)
1626874,LETRAS -  LÍNGUA PORTUGUESA (LICENCIATURA)/CCAE - Mamanguape(Mamanguape)
1626877,PEDAGOGIA (LICENCIATURA)/CCHSA - Bananeiras(Bananeiras)
1626880,DIREITO (BACHARELADO)/CCJ - Santa Rita(Santa Rita)
1626881,MUSICA POPULAR (OUTRO TIPO DE GRAU ACADÊMICO)/CCTA - João Pessoa(João Pessoa)
1626882,SERVIÇO SOCIAL (BACHARELADO)/CCHLA. - João Pessoa(João Pessoa)
