"ppg";"sexo";"total"
PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO;F;27
PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO;M;24
PROGRAMA DE PÓS-GRADUAÇÃO EM ENERGIAS RENOVÁVEIS;F;8
PROGRAMA DE PÓS-GRADUAÇÃO EM ENERGIAS RENOVÁVEIS;M;15
PROGRAMA DE PÓS-GRADUAÇÃO EM ENFERMAGEM;F;29
PROGRAMA DE PÓS-GRADUAÇÃO EM ENFERMAGEM;M;3
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA CIVIL E AMBIENTAL;F;5
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA CIVIL E AMBIENTAL;M;22
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA DE PRODUÇÃO;F;6
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA DE PRODUÇÃO;M;11
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA DE PRODUÇÃO E SISTEMAS;F;4
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA DE PRODUÇÃO E SISTEMAS;M;6
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA;F;2
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA;M;17
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA MECÂNICA;F;5
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA MECÂNICA;M;31
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA QUÍMICA;F;9
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA QUÍMICA;M;8
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA URBANA E AMBIENTAL;F;4
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA URBANA E AMBIENTAL;M;19
PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE BIOLOGIA EM REDE NACIONAL;F;12
PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE BIOLOGIA EM REDE NACIONAL;M;13
PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA;F;3
PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA;M;18
PROGRAMA DE PÓS-GRADUAÇÃO EM FÍSICA;M;27
PROGRAMA DE PÓS-GRADUAÇÃO EM FISIOTERAPIA;F;6
PROGRAMA DE PÓS-GRADUAÇÃO EM FISIOTERAPIA;M;10
PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA;F;6
PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA;M;20
PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO EM ORGANIZAÇÕES APRENDENTES;F;21
PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO EM ORGANIZAÇÕES APRENDENTES;M;16
PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA E COOPERAÇÃO INTERNACIONAL;F;8
PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA E COOPERAÇÃO INTERNACIONAL;M;13
PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA;F;14
PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA;M;14
PROGRAMA DE PÓS-GRADUAÇÃO EM INFORMÁTICA;F;5
PROGRAMA DE PÓS-GRADUAÇÃO EM INFORMÁTICA;M;24
PROGRAMA DE PÓS-GRADUAÇÃO EM JORNALISMO;F;5
PROGRAMA DE PÓS-GRADUAÇÃO EM JORNALISMO;M;7
PROGRAMA DE PÓS-GRADUAÇÃO EM LETRAS;F;17
PROGRAMA DE PÓS-GRADUAÇÃO EM LETRAS;M;13
PROGRAMA DE PÓS-GRADUAÇÃO EM LINGUÍSTICA;F;25
PROGRAMA DE PÓS-GRADUAÇÃO EM LINGUÍSTICA;M;16
PROGRAMA DE PÓS-GRADUAÇÃO EM LINGUÍSTICA E ENSINO;F;15
PROGRAMA DE PÓS-GRADUAÇÃO EM LINGUÍSTICA E ENSINO;M;7
PROGRAMA DE PÓS-GRADUAÇÃO EM MANEJO DE SOLO E ÁGUA;F;2
PROGRAMA DE PÓS-GRADUAÇÃO EM MANEJO DE SOLO E ÁGUA;M;11
PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA;F;6
PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA;M;37
PROGRAMA DE PÓS-GRADUAÇÃO EM MODELAGEM MATEMÁTICA E COMPUTACIONAL;F;7
PROGRAMA DE PÓS-GRADUAÇÃO EM MODELAGEM MATEMÁTICA E COMPUTACIONAL;M;22
PROGRAMA DE PÓS-GRADUAÇÃO EM MODELOS DE DECISÃO E SAÚDE;F;14
PROGRAMA DE PÓS-GRADUAÇÃO EM MODELOS DE DECISÃO E SAÚDE;M;16
PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA;F;8
PROGRAMA DE PÓS-GRADUAÇÃO EM MÚSICA;M;14
PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIA COGNITIVA E COMPORTAMENTO;F;9
PROGRAMA DE PÓS-GRADUAÇÃO EM NEUROCIÊNCIA COGNITIVA E COMPORTAMENTO;M;8
PROGRAMA DE PÓS-GRADUAÇÃO EM ODONTOLOGIA;F;19
PROGRAMA DE PÓS-GRADUAÇÃO EM ODONTOLOGIA;M;20
PROGRAMA DE PÓS-GRADUAÇÃO EM POLÍTICAS PÚBLICAS, GESTÃO E AVALIAÇÃO DA EDUCAÇÃO SUPERIOR;F;10
PROGRAMA DE PÓS-GRADUAÇÃO EM POLÍTICAS PÚBLICAS, GESTÃO E AVALIAÇÃO DA EDUCAÇÃO SUPERIOR;M;9
PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUTOS NATURAIS E SINTÉTICOS BIOATIVOS;F;20
PROGRAMA DE PÓS-GRADUAÇÃO EM PRODUTOS NATURAIS E SINTÉTICOS BIOATIVOS;M;17
PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA;F;7
PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA;M;4
PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA SOCIAL;F;7
PROGRAMA DE PÓS-GRADUAÇÃO EM PSICOLOGIA SOCIAL;M;8
PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA;F;17
PROGRAMA DE PÓS-GRADUAÇÃO EM QUÍMICA;M;21
PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA, EM NÍVEL DE MESTRADO ACADÊMICO;F;8
PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE COLETIVA, EM NÍVEL DE MESTRADO ACADÊMICO;M;11
