"dpto";"sexo";"total"
CCEN - DEPARTAMENTO DE FÍSICA;M;3
CCEN - DEPARTAMENTO DE MATEMÁTICA;M;1
CCHLA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS;F;2
CCHLA - DEPARTAMENTO DE LETRAS ESTRANGEIRAS E MODERNAS;M;1
CCHSA - DEPARTAMENTO DE AGRICULTURA;M;1
CT - DEPARTAMENTO DE ARQUITETURA E URBANISMO;F;1
CT - DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL;M;1
CT - DEPARTAMENTO DE ENGENHARIA DE ALIMENTOS;M;1
