"dpto";"sexo";"total"
CCHLA - DEPARTAMENTO DE PSICOLOGIA;M;17
CCHLA - DEPARTAMENTO DE SERVIÇO SOCIAL;F;29
CCHLA - DEPARTAMENTO DE SERVIÇO SOCIAL;M;5
CCHSA - COORDENAÇÃO DE PEDAGOGIA (LICENCIATURA);F;1
CCHSA - DEPARTAMENTO DE AGRICULTURA;F;9
CCHSA - DEPARTAMENTO DE AGRICULTURA;M;12
CCHSA - DEPARTAMENTO DE CIÊNCIA ANIMAL;F;4
CCHSA - DEPARTAMENTO DE CIÊNCIA ANIMAL;M;12
CCHSA - DEPARTAMENTO DE CIÊNCIAS BÁSICAS E SOCIAIS;F;8
CCHSA - DEPARTAMENTO DE CIÊNCIAS BÁSICAS E SOCIAIS;M;15
CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS;F;12
CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS;M;10
CCHSA - DEPARTAMENTO DE EDUCAÇÃO;F;14
CCHSA - DEPARTAMENTO DE EDUCAÇÃO;M;8
CCHSA - DEPARTAMENTO DE GESTÃO E TECNOLOGIA AGROINDUSTRIAL;F;16
CCHSA - DEPARTAMENTO DE GESTÃO E TECNOLOGIA AGROINDUSTRIAL;M;16
CCJ - COORDENAÇÃO DE DIREITO (SANTA RITA);M;1
CCJ - DEPARTAMENTO DE CIÊNCIAS JURÍDICAS;F;12
CCJ - DEPARTAMENTO DE CIÊNCIAS JURÍDICAS;M;21
CCJ - DEPARTAMENTO DE DIREITO PRIVADO;F;19
CCJ - DEPARTAMENTO DE DIREITO PRIVADO;M;19
CCJ - DEPARTAMENTO DE DIREITO PROCESSUAL E PRÁTICA JURÍDICA;F;2
CCJ - DEPARTAMENTO DE DIREITO PROCESSUAL E PRÁTICA JURÍDICA;M;15
CCJ - DEPARTAMENTO DE DIREITO PÚBLICO;F;9
CCJ - DEPARTAMENTO DE DIREITO PÚBLICO;M;25
CCM - DEPARTAMENTO DE CIRURGIA;F;6
CCM - DEPARTAMENTO DE CIRURGIA;M;33
CCM - DEPARTAMENTO DE MEDICINA INTERNA;F;22
CCM - DEPARTAMENTO DE MEDICINA INTERNA;M;26
CCM - DEPARTAMENTO DE OBSTETRÍCIA E GINECOLOGIA;F;13
CCM - DEPARTAMENTO DE OBSTETRÍCIA E GINECOLOGIA;M;9
CCM - DEPARTAMENTO DE PEDIATRIA E GENÉTICA;F;13
CCM - DEPARTAMENTO DE PEDIATRIA E GENÉTICA;M;5
CCM - DEPARTAMENTO DE PROMOÇÃO DA SAÚDE;F;20
CCM - DEPARTAMENTO DE PROMOÇÃO DA SAÚDE;M;19
CCM - DIREÇÃO DE CENTRO;M;1
CCSA - COORDENAÇÃO DE ADMINISTRAÇÃO PÚBLICA (BACHARELADO - EAD);F;1
CCSA - COORDENAÇÃO DE GESTÃO PÚBLICA;M;1
CCSA - DEPARTAMENTO DE ADMINISTRACAO;F;17
CCSA - DEPARTAMENTO DE ADMINISTRACAO;M;24
CCSA - DEPARTAMENTO DE CIÊNCIA DA INFORMAÇÃO;F;28
CCSA - DEPARTAMENTO DE CIÊNCIA DA INFORMAÇÃO;M;9
CCSA - DEPARTAMENTO DE ECONOMIA;F;10
CCSA - DEPARTAMENTO DE ECONOMIA;M;29
CCSA - DEPARTAMENTO DE FINANÇAS E CONTABILIDADE;F;20
CCSA - DEPARTAMENTO DE FINANÇAS E CONTABILIDADE;M;28
CCSA - DEPARTAMENTO DE GESTÃO PÚBLICA;F;9
CCSA - DEPARTAMENTO DE GESTÃO PÚBLICA;M;7
CCSA - DEPARTAMENTO DE RELACÕES INTERNACIONAIS;F;7
CCSA - DEPARTAMENTO DE RELACÕES INTERNACIONAIS;M;11
CCS - COORDENAÇÃO DE ENFERMAGEM;F;1
CCS - DEPARTAMENTO DE CIÊNCIAS FARMACÊUTICAS;F;19
CCS - DEPARTAMENTO DE CIÊNCIAS FARMACÊUTICAS;M;22
CCS - DEPARTAMENTO DE CLÍNICA E ODONTOLOGIA SOCIAL;F;34
CCS - DEPARTAMENTO DE CLÍNICA E ODONTOLOGIA SOCIAL;M;21
CCS - DEPARTAMENTO DE EDUCAÇÃO FÍSICA;F;13
CCS - DEPARTAMENTO DE EDUCAÇÃO FÍSICA;M;20
CCS - DEPARTAMENTO DE ENFERMAGEM CLÍNICA;F;31
CCS - DEPARTAMENTO DE ENFERMAGEM CLÍNICA;M;5
CCS - DEPARTAMENTO DE ENFERMAGEM EM SAÚDE COLETIVA;F;31
CCS - DEPARTAMENTO DE ENFERMAGEM EM SAÚDE COLETIVA;M;2
CCS - DEPARTAMENTO DE FISIOLOGIA E PATOLOGIA;F;21
